t_sec,lat,lon,alt_m,hdg_deg,spd_mps,grc_dalam kota,arc_label,arc_rute_dalam kota,arc_rule,,,grc_filtered_dalam_kota,,alpha,0.1
0.079545259,-6.142455578,106.6438675,11.86906433,68.20896912,0.029406643,5,ARC-c,2,Inside Soetta (Class A) → ARC-c,,,5,,,
1.266074657,-6.142455578,106.6438675,11.87448788,68.20731354,0.039358787,5,ARC-c,2,Inside Soetta (Class A) → ARC-c,,,5,,,
1.920236588,-6.142455578,106.6438675,11.86815929,68.20779419,0.028848331,5,ARC-c,2,Inside Soetta (Class A) → ARC-c,,,5,,,
2.5893929,-6.142455578,106.6438675,11.86810493,68.20749664,0.003014667,5,ARC-c,2,Inside Soetta (Class A) → ARC-c,,,5,,,
3.27188468,-6.142455578,106.6438675,11.868577,68.207901,0.007676081,5,ARC-c,2,Inside Soetta (Class A) → ARC-c,,,5,,,
4.043096542,-6.142455578,106.6438675,11.86872768,68.20863342,0.011726802,5,ARC-c,2,Inside Soetta (Class A) → ARC-c,,,5,,,
4.689549208,-6.142455578,106.6438675,11.87038231,68.207901,0.046308536,5,ARC-c,2,Inside Soetta (Class A) → ARC-c,,,5,,,
5.365155458,-6.142455578,106.6438675,11.87428665,68.20771027,0.076595686,5,ARC-c,2,Inside Soetta (Class A) → ARC-c,,,5,,,
6.022017717,-6.142455578,106.6438675,11.88662529,68.20910645,0.047921762,5,ARC-c,2,Inside Soetta (Class A) → ARC-c,,,5,,,
6.684095144,-6.142455578,106.6438675,11.88520813,68.20858765,0.205340937,5,ARC-c,2,Inside Soetta (Class A) → ARC-c,,,5,,,
7.487821341,-6.142455578,106.6438675,11.86864376,68.20849609,0.005678061,5,ARC-c,2,Inside Soetta (Class A) → ARC-c,,,5,,,
8.311956644,-6.142455578,106.6438675,11.8693819,68.20767975,0.030250153,5,ARC-c,2,Inside Soetta (Class A) → ARC-c,,,5,,,
9.116974115,-6.142455578,106.6438675,11.87256908,68.2076416,0.073449284,5,ARC-c,2,Inside Soetta (Class A) → ARC-c,,,5,,,
9.960022926,-6.142455578,106.6438675,11.88710785,68.20910645,0.045599345,5,ARC-c,2,Inside Soetta (Class A) → ARC-c,,,5,,,
10.60838652,-6.142455101,106.6438675,11.88852215,68.20422363,0.487633854,5,ARC-c,2,Inside Soetta (Class A) → ARC-c,,,5,,,
11.42844939,-6.142450809,106.6438751,11.87064075,68.14405823,3.200036764,5,ARC-c,2,Inside Soetta (Class A) → ARC-c,,,5,,,
12.07412124,-6.14244175,106.643898,11.87248611,68.07501221,5.333217621,5,ARC-c,2,Inside Soetta (Class A) → ARC-c,,,5,,,
12.7271502,-6.142428398,106.6439362,11.87057209,67.97538757,7.465896606,5,ARC-c,2,Inside Soetta (Class A) → ARC-c,,,5,,,
13.39597225,-6.142409325,106.6439819,11.86521149,67.82775879,9.652549744,5,ARC-c,2,Inside Soetta (Class A) → ARC-c,,,5,,,
14.18682861,-6.142380238,106.6440506,11.86828804,67.59812927,12.20535278,5,ARC-c,2,Inside Soetta (Class A) → ARC-c,,,5,,,
14.82997489,-6.142351627,106.6441269,11.86560917,67.51794434,14.26230621,5,ARC-c,2,Inside Soetta (Class A) → ARC-c,,,5,,,
15.48816657,-6.142317772,106.6442108,11.86644459,67.5250473,16.34744835,5,ARC-c,2,Inside Soetta (Class A) → ARC-c,,,5,,,
16.17875338,-6.142276764,106.64431,11.86905384,67.57949829,18.51316071,5,ARC-c,2,Inside Soetta (Class A) → ARC-c,,,5,,,
17.02608466,-6.14222002,106.6444473,11.86286545,67.60876465,21.13911629,5,ARC-c,2,Inside Soetta (Class A) → ARC-c,,,5,,,
17.81632209,-6.142159939,106.6445923,11.85439777,67.52281952,23.55707741,5,ARC-c,2,Inside Soetta (Class A) → ARC-c,,,5,,,
18.59387445,-6.142094135,106.6447525,11.86591625,67.39588928,25.88009262,5,ARC-c,2,Inside Soetta (Class A) → ARC-c,,,5,,,
19.26115513,-6.142032623,106.6449051,11.85856628,67.23160553,27.88752747,5,ARC-c,2,Inside Soetta (Class A) → ARC-c,,,5,,,
20.04238367,-6.141954422,106.6450882,11.86322498,67.03401947,30.18070984,5,ARC-c,2,Inside Soetta (Class A) → ARC-c,,,5,,,
